scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-11-18,IMNM,C,Pennant,17.86,18.787,4.93,14.25,6,,94.88,39,12.33,75.79,103.88,4.93,-0.95,2.46,8.45,10.75,31.47,False
2025-11-18,IMPP,C,Pennant,6.23,6.4,2.66,13.75,6,,103.32,59,22.4,89.94,117.83,2.66,0.8,0.48,-30.5,-35.96,1.93,False
2025-11-18,INCY,B,HTF,103.89,109.28,4.93,5.04,6,,32.45,33,17.98,23.68,59.68,4.93,-2.47,1.6,-2.3,-6.03,2.26,False
2025-11-18,INSM,C,FlatBase,201.62,203.65,1.0,18.0,14,,77.69,59,25.7,52.55,189.14,1.0,0.96,3.67,2.56,-1.57,4.86,True
2025-11-18,KNSA,C,FlatBase,41.28,42.3,2.41,16.78,19,,28.98,60,6.12,22.97,50.88,2.41,2.13,3.46,-1.67,0.46,3.46,True
2025-11-18,KRYS,B,HTF,204.74,212.98,3.87,9.61,11,,47.87,39,9.83,39.39,62.54,3.87,-0.31,5.97,6.21,15.17,20.53,True
2025-11-18,KYMR,C,FlatBase,64.31,68.455,6.06,18.69,16,,64.41,55,15.25,46.59,116.97,6.06,0.79,2.69,2.61,27.62,46.63,False
2025-11-18,LLY,C,Pennant,1026.5665,1037.2004,1.03,13.56,10,,45.1,60,26.97,40.15,40.15,1.03,1.9,7.76,0.34,1.14,7.76,True
2025-11-18,LVS,B,HTF,64.071,67.0876,4.5,6.69,6,,44.74,21,28.49,15.76,58.78,4.5,-1.13,4.4,3.24,2.64,7.27,False
2025-11-18,MBX,A,FlatBase,26.36,26.65,1.09,17.82,8,0.397,162.39,38,78.35,71.5,112.24,1.09,3.91,19.88,28.76,5.08,30.84,True
2025-11-18,MEDP,A,VCP,590.18,614.04,3.89,7.0,18,0.836,43.04,59,7.95,25.76,100.13,5.57,0.34,3.66,-2.32,-5.61,4.8,True
2025-11-18,NAMS,C,FlatBase,38.91,40.99,5.07,15.83,19,,70.51,58,11.17,54.47,114.85,6.17,-0.75,3.93,-8.71,-13.44,6.53,False
2025-11-18,NESR,C,FlatBase,14.25,14.5,1.72,18.33,15,,114.45,59,24.13,63.42,130.58,1.72,-1.96,0.7,3.37,1.54,4.91,False
2025-11-18,NTRA,C,FlatBase,213.65,215.81,1.0,15.57,19,,45.89,59,13.63,28.93,35.45,1.0,2.2,10.69,11.5,5.54,14.46,True
2025-11-18,PAHC,C,Pennant,43.1633,46.1881,6.55,13.81,18,,62.65,59,7.94,33.34,79.11,6.55,-4.61,2.19,-4.33,-6.15,2.19,False
2025-11-18,PTCT,C,Pennant,76.69,77.455,0.99,12.63,10,,58.54,60,15.29,55.05,58.06,0.99,-1.42,8.14,-1.21,-2.28,12.47,True
2025-11-18,PTGX,C,Pennant,84.39,86.9,2.89,13.19,13,0.75,54.28,60,14.82,48.08,77.78,9.5,0.88,6.48,1.99,5.87,12.99,True
2025-11-18,ROIV,A,HTF,20.52,21.35,3.89,7.31,7,,81.87,54,14.25,73.31,86.72,3.89,-0.88,1.66,0.88,10.62,11.79,False
2025-11-18,RVMD,C,Pennant,70.58,70.92,0.48,12.17,6,,79.65,55,33.22,89.35,79.14,0.48,-0.07,8.13,10.07,8.73,13.43,True
2025-11-18,SHOO,C,FlatBase,36.7662,39.427,6.75,19.09,18,,52.5,59,7.8,32.97,53.08,18.32,0.0,11.78,18.67,15.95,19.56,True
2025-11-18,TARS,B,FlatBase,76.97,78.76,2.27,17.09,19,0.779,75.99,59,12.04,30.79,79.21,2.27,0.18,2.48,6.38,1.04,6.83,True
2025-11-18,TBPH,C,FlatBase,18.49,18.96,2.48,17.88,6,,38.16,58,32.07,33.99,101.86,2.48,-4.11,2.43,2.16,-3.14,9.79,False
2025-11-18,TVTX,B,Pennant,36.0,36.87,2.36,10.36,6,0.705,109.58,55,31.0,106.42,139.68,2.36,-1.58,0.03,-3.19,-5.86,0.72,False
2025-11-18,UPB,C,FlatBase,25.56,26.25,2.63,16.27,13,,63.19,60,15.4,47.75,176.92,4.98,-2.43,12.79,5.52,10.84,14.71,True
2025-11-18,URGN,B,HTF,23.55,25.19,6.51,9.88,6,,43.91,23,33.35,20.77,455.42,6.51,7.3,17.58,3.4,-3.95,24.93,True
2025-11-18,UTHR,C,FlatBase,476.59,485.32,1.8,15.71,19,0.842,55.15,59,13.03,54.13,49.47,1.8,-0.01,1.93,0.92,7.21,7.21,True
2025-11-18,VLO,C,VCP,183.1479,183.3356,0.1,11.08,17,,32.31,54,14.55,26.19,44.95,0.1,-2.75,-5.52,-3.92,-11.59,-2.02,False
2025-11-18,VRDN,B,HTF,28.59,29.584,3.36,7.55,6,,59.63,59,30.55,53.22,105.39,3.36,0.31,9.86,9.48,12.38,15.53,True
2025-11-18,WBD,B,HTF,23.69,24.19,2.07,9.59,11,,109.65,60,15.39,100.76,137.61,2.07,-2.53,-3.08,3.71,19.08,26.55,False
2025-11-18,WFRD,C,VCP,71.0252,76.5361,7.2,10.5,12,,39.9,59,6.7,16.38,65.04,17.11,0.69,2.04,7.79,8.41,13.88,False
2025-11-18,ZBIO,C,Pennant,36.21,37.89,4.43,14.86,6,,122.08,59,48.58,113.0,280.36,4.43,2.6,10.08,1.27,-1.1,12.1,True
2025-11-19,AAPU,B,VCP,33.0141,35.2765,6.41,8.66,16,,70.49,60,6.49,31.78,66.47,11.21,-1.8,6.49,8.52,1.69,13.03,False
2025-11-19,ABVX,C,Pennant,112.95,116.43,2.99,13.68,7,,58.15,59,24.85,42.2,1678.74,2.99,8.81,11.27,-2.05,0.58,17.83,True
2025-11-19,AMRX,C,HTF,11.52,12.12,4.95,6.02,7,,29.05,60,10.56,23.08,55.26,4.95,-0.04,8.68,3.65,9.72,9.72,True
2025-11-19,ANDE,C,Pennant,49.1069,51.5508,4.74,13.99,19,0.779,37.43,57,6.12,22.05,40.32,4.74,-1.64,3.8,2.55,10.96,14.0,False
2025-11-19,APGE,B,HTF,63.83,67.57,5.53,9.5,6,,75.18,59,18.6,68.91,75.7,5.53,-0.72,10.28,18.28,21.18,21.18,True
2025-11-19,ATEC,B,HTF,19.62,21.16,7.28,8.27,6,,57.91,23,23.47,21.26,59.51,7.28,-0.05,15.14,8.46,1.27,15.14,True
2025-11-19,AUPH,B,HTF,15.2,15.98,4.88,7.7,7,,41.9,30,31.26,25.52,90.95,6.17,-0.39,7.7,0.72,4.67,7.7,True
2025-11-19,AXGN,B,VCP,25.26,25.83,2.21,11.27,12,,69.66,60,39.94,56.51,130.26,2.21,1.62,13.02,30.09,25.49,31.91,True
2025-11-19,AXSM,C,FlatBase,146.77,149.46,1.8,17.37,13,,30.58,59,15.51,20.44,36.33,1.8,-2.36,2.87,0.87,0.16,3.22,True
2025-11-19,BBIO,C,Pennant,65.54,69.48,5.67,13.33,16,,48.67,59,21.8,32.16,84.83,5.67,-1.4,9.43,14.07,13.12,15.49,True
2025-11-19,BBNX,B,FlatBase,27.72,29.585,6.3,17.76,12,0.63,95.57,59,38.5,46.13,48.31,9.03,2.45,11.33,8.23,4.83,13.67,True
2025-11-19,COGT,B,Pennant,34.94,36.29,3.72,11.82,6,,199.83,60,135.44,182.46,522.82,3.72,-0.69,15.6,12.51,8.47,20.52,True
2025-11-19,COKE,B,HTF,163.1751,164.4214,0.76,7.86,6,,39.52,39,28.4,39.65,45.66,0.76,-0.17,0.15,1.25,1.44,2.7,False
2025-11-19,CSTL,A,HTF,34.65,35.49,2.37,7.13,7,,76.79,58,43.3,55.52,112.97,2.37,3.09,15.27,14.34,14.29,15.3,True
2025-11-19,CYTK,C,Pennant,64.79,67.98,4.69,14.61,14,,91.36,58,12.68,71.27,107.59,4.69,-1.99,5.19,2.7,-4.0,5.19,True
2025-11-19,ESTA,B,Pennant,66.84,68.86,2.93,10.18,7,,85.8,41,34.79,57.49,96.76,3.13,-1.18,1.75,5.79,4.11,11.77,True
2025-11-19,FROG,C,Pennant,60.86,65.5,7.08,13.68,8,,44.05,57,26.0,24.23,36.61,7.08,-2.65,0.18,2.07,7.99,13.34,False
