scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-07-23,CVNA,A,HTF,68.6,72.8,5.77,9.03,15,0.721,111.23,60,8.63,42.01,40.61,5.77,-4.93,-2.74,3.47,-1.28,13.75,False
2025-08-01,PLTR,A,HTF,154.27,160.89,4.11,9.84,12,0.679,69.59,60,10.89,39.64,32.25,4.11,4.14,21.19,14.84,1.58,21.2,True
2025-08-04,FIX,A,HTF,697.5953,716.7924,2.68,7.15,6,,74.48,60,32.56,59.36,61.22,2.68,-1.1,-0.84,-0.42,-0.01,4.49,False
2025-08-05,FIX,A,HTF,689.9026,716.7924,3.75,7.15,7,,74.48,60,29.24,59.15,73.97,3.75,-0.14,3.93,-1.02,1.41,5.65,True
2025-08-06,FIX,A,HTF,688.9049,716.7924,3.89,7.15,8,,74.48,60,29.35,52.95,75.16,3.89,0.58,1.69,-1.29,4.93,5.8,True
2025-08-07,FIX,A,HTF,692.876,716.7924,3.34,7.15,9,,74.48,60,28.72,49.41,77.9,3.34,-0.38,-0.59,0.01,1.78,5.2,True
2025-08-07,WDC,A,HTF,74.2582,78.6075,5.53,7.04,6,,78.77,56,12.55,52.17,44.27,5.53,0.71,2.42,0.3,23.79,23.79,False
2025-08-08,FIX,A,HTF,690.212,716.7924,3.71,7.15,10,,74.48,60,27.41,48.11,75.7,3.71,0.22,-1.51,-0.26,3.56,5.6,True
2025-08-11,FIX,A,HTF,691.7585,716.7924,3.49,7.15,11,,74.48,60,28.62,49.77,75.53,3.49,3.65,0.42,-0.24,2.41,5.37,True
2025-08-12,FIX,A,HTF,717.002,718.3889,0.19,7.36,12,,74.48,60,31.46,52.26,88.47,0.19,-2.3,-4.76,-1.49,4.73,4.73,False
2025-08-12,WDC,A,HTF,75.7246,78.6075,3.67,7.04,9,,78.77,56,14.1,52.13,41.14,3.67,0.21,-0.07,5.01,25.32,25.32,False
2025-08-14,PLTR,A,HTF,181.02,190.0,4.73,6.23,6,0.847,53.81,60,17.91,44.14,99.63,4.73,-2.13,-13.72,-12.65,-5.3,-2.13,False
2025-08-15,ANET,A,HTF,137.3,141.99,3.3,6.72,7,,61.48,33,23.02,48.54,47.83,3.3,0.54,-2.95,-0.55,5.92,11.46,False
2025-08-15,WDC,A,HTF,74.8766,78.6075,4.75,7.04,12,,78.77,56,9.19,51.95,53.25,4.75,1.64,2.54,7.03,36.57,36.57,False
2025-08-18,ANET,A,HTF,138.04,141.99,2.78,6.72,8,0.829,61.48,33,25.74,49.14,43.22,2.78,-3.81,-3.62,-1.57,2.98,10.87,False
2025-08-18,WDC,A,HTF,76.1036,78.6075,3.19,7.04,13,,78.77,56,13.76,53.36,52.38,3.19,-0.56,3.84,7.37,35.29,35.29,True
2025-08-19,ANET,A,HTF,132.78,141.99,6.49,7.1,6,0.769,63.77,36,17.46,45.59,45.0,6.49,-0.99,1.12,3.46,7.58,15.26,False
2025-08-22,STX,A,VCP,158.0188,159.3686,0.85,9.85,17,0.76,68.67,60,5.82,35.48,71.52,0.85,3.01,5.14,18.86,44.04,44.04,True
2025-08-26,ANET,A,VCP,134.27,141.99,5.44,10.15,11,0.759,63.77,36,9.98,49.55,59.2,5.44,-0.74,2.32,12.25,6.23,13.98,False
2025-08-27,ANET,A,VCP,133.27,141.99,6.14,10.15,12,0.753,63.77,36,8.16,41.03,59.87,6.14,2.22,5.93,14.83,7.35,14.83,False
2025-08-28,ANET,A,VCP,136.23,141.99,4.06,10.15,13,0.768,63.77,36,15.87,43.49,75.64,4.06,0.23,4.86,2.32,4.6,12.34,True
2025-09-09,UAL,A,HTF,105.65,109.69,3.68,7.24,8,0.785,42.64,50,7.29,42.77,41.95,8.92,1.76,-1.37,-1.44,-8.52,3.51,False
2025-09-17,LITE,A,HTF,163.34,171.87,4.96,7.9,6,,99.94,60,40.94,77.91,155.3,4.96,5.0,-6.48,4.93,-4.14,5.0,False
2025-09-18,CIEN,A,HTF,138.04,139.74,1.22,6.97,6,,80.39,59,58.01,73.79,124.24,1.22,0.24,-0.63,10.59,23.72,23.72,False
2025-09-19,CIEN,A,HTF,138.37,139.74,0.98,6.97,7,,80.39,59,54.07,69.76,128.98,0.98,0.68,2.57,9.45,23.55,23.55,True
2025-09-22,CIEN,A,HTF,139.31,139.74,0.31,5.93,6,,84.1,60,53.53,69.64,126.37,0.31,0.12,3.45,10.01,24.27,24.27,True
2025-09-23,CIEN,A,HTF,139.48,141.43,1.38,6.01,6,,84.46,60,52.45,71.5,114.49,1.38,-0.76,4.44,8.6,21.67,24.12,True
2025-09-24,CIEN,A,HTF,138.42,141.43,2.13,6.01,7,,84.46,60,49.26,72.79,146.34,2.13,-0.9,9.61,15.34,18.83,25.07,True
2025-09-25,CIEN,A,HTF,137.17,141.43,3.01,6.01,8,,84.46,60,40.13,72.5,156.39,3.01,3.47,11.29,19.28,25.81,26.21,True
2025-09-26,APP,A,HTF,669.86,671.18,0.2,7.99,6,,94.62,58,39.97,96.07,188.46,0.2,6.34,1.93,-14.92,-7.44,7.27,True
2025-09-26,CIEN,A,HTF,141.93,143.79,1.29,7.55,9,,84.46,60,51.04,74.4,157.03,1.29,1.54,6.71,9.87,26.15,26.15,True
2025-10-09,TER,A,HTF,145.0197,150.5333,3.66,7.24,6,0.784,60.48,48,29.36,56.61,108.5,3.66,-9.03,-4.06,-0.1,27.43,29.2,False
2025-10-13,SATS,A,HTF,74.85,79.98,6.41,8.03,9,0.604,201.94,41,7.23,164.21,240.69,12.32,0.27,-0.94,-0.61,-1.47,0.69,False
2025-10-14,FSLR,A,HTF,224.43,237.2,5.38,7.21,9,0.751,44.32,57,6.51,24.69,64.49,5.38,8.9,1.08,6.76,17.7,23.6,True
2025-10-15,SATS,A,HTF,74.85,79.98,6.41,8.59,11,0.565,201.94,41,5.1,152.79,231.78,12.32,-3.37,-3.5,-1.64,-6.97,0.69,False
2025-10-22,AMAT,A,HTF,219.8543,231.3275,4.96,6.89,6,0.725,45.65,30,10.5,16.79,43.02,4.96,3.59,6.89,9.22,6.61,9.22,True
2025-10-23,AMAT,A,HTF,227.739,231.3275,1.55,6.89,6,0.704,45.74,31,12.04,27.25,48.62,1.55,0.12,1.79,2.21,-3.42,5.44,True
2025-10-24,AMAT,A,HTF,228.0181,231.3275,1.43,6.89,7,0.698,45.74,31,11.61,27.45,50.34,1.43,1.13,1.9,0.58,-1.88,5.31,True
2025-10-28,WBD,A,HTF,20.99,21.57,2.69,9.36,6,0.693,88.59,50,8.48,65.02,132.96,2.69,1.67,7.67,9.81,9.39,12.86,True
2025-10-29,WBD,A+,HTF,21.34,21.74,1.84,7.08,6,0.576,90.45,51,10.91,66.85,135.28,1.84,1.31,6.65,3.98,11.9,11.9,True
2025-10-30,WBD,A+,HTF,21.62,21.84,1.01,4.67,6,0.526,97.12,52,13.85,82.29,134.24,1.01,3.84,3.7,2.41,11.01,11.01,True
2025-10-31,MU,A,HTF,223.5857,232.2086,3.71,9.65,6,0.816,108.96,59,17.18,88.33,131.22,3.71,4.88,6.32,10.31,7.46,13.2,True
2025-10-31,WBD,A+,HTF,22.45,22.56,0.49,7.71,7,0.563,97.12,52,17.66,105.77,144.55,0.49,-0.71,0.98,2.58,6.33,6.9,True
2025-11-03,AMD,A,HTF,259.65,267.08,2.78,6.47,6,0.797,71.81,36,22.76,50.71,120.57,2.78,-3.7,-6.04,-7.37,-17.1,-0.29,False
2025-11-03,HAL,A,HTF,26.8781,27.3429,1.7,4.34,8,0.828,33.78,52,11.94,33.59,30.08,14.15,-1.36,1.95,-2.06,-0.99,3.24,True
2025-11-03,LRCX,A,HTF,160.7824,164.7511,2.41,6.62,6,,63.86,57,14.88,58.39,90.61,2.41,-3.39,3.18,-8.55,-1.89,3.18,True
2025-11-03,MU,A,HTF,234.5067,237.4243,1.23,9.21,6,0.782,109.99,60,26.39,89.82,146.61,1.23,-7.1,7.93,3.09,2.04,7.93,True
2025-11-03,WBD,A+,HTF,22.29,22.56,1.2,7.71,8,0.589,97.12,52,19.84,106.77,142.02,1.2,1.39,3.1,2.02,10.05,10.05,True
2025-11-04,AMAT,A,HTF,229.4535,241.7241,5.08,6.36,7,0.85,48.05,38,5.83,22.5,32.48,5.08,4.65,-0.66,-2.2,16.93,16.93,False
2025-11-04,AMD,A,HTF,250.05,267.08,6.38,7.37,7,0.816,71.81,36,6.15,42.93,117.45,6.38,2.51,-5.01,-7.9,-12.98,3.54,False
2025-11-04,LRCX,A,HTF,155.3378,164.7511,5.71,6.62,7,,63.86,57,9.29,48.26,84.55,5.71,5.95,2.18,-8.05,2.72,6.8,True
2025-11-04,WBD,A,HTF,22.6,22.62,0.09,7.96,9,0.606,97.12,52,26.33,101.43,147.26,0.09,0.71,1.99,4.82,8.72,8.72,True
2025-11-05,LRCX,A,HTF,164.5815,166.4462,1.12,7.05,6,,67.8,59,17.06,54.93,96.36,1.12,-1.73,-2.2,-9.85,-4.67,0.8,False
2025-11-05,WBD,A,HTF,22.76,23.06,1.3,9.71,6,0.73,97.96,56,28.81,88.88,148.47,1.3,-1.49,-2.5,1.45,7.82,7.95,False
2025-11-06,LRCX,A,HTF,161.7297,166.4462,2.83,7.05,6,,68.16,60,23.46,51.34,94.36,2.83,-1.75,-5.47,-13.93,-1.99,2.58,False
2025-11-06,WBD,A,HTF,22.42,23.06,2.78,7.37,6,0.777,100.56,57,31.11,90.32,147.73,2.78,1.12,-1.25,2.05,16.32,16.32,False
2025-11-07,WBD,A+,HTF,22.67,23.06,1.69,4.73,6,0.762,108.26,58,27.5,91.31,145.61,1.69,1.37,1.59,2.21,20.11,20.11,False
2025-11-10,WBD,A+,HTF,22.98,23.06,0.35,4.73,7,0.74,108.26,58,27.81,94.42,156.76,0.35,0.3,-1.04,-0.52,22.98,22.98,False
2025-11-11,WBD,A,HTF,23.05,23.19,0.6,5.09,6,0.667,109.65,60,24.93,99.39,155.54,0.6,-3.73,2.78,-0.39,28.11,28.11,True
2025-11-12,WBD,A,HTF,22.19,23.19,4.31,5.09,7,0.651,109.65,60,21.32,92.29,146.56,4.31,-0.23,4.06,7.62,32.9,33.08,True
2025-11-13,WBD,A,HTF,22.14,23.19,4.53,5.69,8,0.653,109.65,60,21.72,91.03,131.83,4.53,4.02,3.34,8.4,35.41,35.41,True
2025-11-14,WBD,A,HTF,23.03,23.19,0.69,5.69,9,,109.65,60,25.71,91.12,129.84,0.69,-1.26,0.61,3.65,29.01,30.18,True
2025-11-17,WBD,A,HTF,22.74,23.19,1.94,5.69,10,,109.65,60,11.85,88.87,126.49,1.94,4.18,0.53,7.87,27.09,31.84,True
2025-12-03,GOOG,A,HTF,320.1854,328.2245,2.45,4.47,6,,52.8,60,12.6,33.84,82.46,2.45,-0.7,0.18,-6.98,-1.59,0.46,False
2025-12-03,GOOGL,A,HTF,319.1964,328.3839,2.8,4.54,6,,53.17,60,12.42,33.64,83.15,2.8,-0.63,0.25,-7.11,-1.34,0.51,False
2025-12-04,GOOG,A,HTF,317.9584,328.2245,3.13,4.47,7,,52.8,60,11.58,32.23,79.09,3.13,1.16,-1.41,-4.54,-0.27,1.16,False
2025-12-04,GOOGL,A,HTF,317.1891,328.3839,3.41,4.54,7,,53.17,60,11.54,32.14,79.84,3.41,1.15,-1.57,-4.71,-0.27,1.15,False
2025-12-09,AMAT,A,HTF,266.8073,273.2492,2.36,6.56,6,0.798,64.05,60,17.05,54.24,58.4,2.36,3.0,-3.11,-2.59,5.43,10.81,True
2025-12-10,AMAT,A,HTF,274.8073,275.7561,0.34,5.94,6,0.747,64.7,59,19.49,54.77,60.78,0.34,-1.83,-9.77,-5.22,9.46,9.46,False
2025-12-10,TER,A,HTF,203.9247,204.9143,0.48,7.8,6,0.784,73.94,57,13.89,78.59,133.94,0.48,-0.02,-9.22,-2.69,6.49,12.17,False
2025-12-11,AMAT,A+,HTF,269.7735,275.7561,2.17,4.81,6,0.738,65.2,60,21.24,42.62,50.64,2.17,-4.04,-6.15,-3.04,13.75,13.75,False
2025-12-11,TER,A,HTF,203.8848,204.9143,0.5,5.85,6,0.747,77.1,58,20.36,71.79,126.05,0.5,-5.2,-6.63,-2.49,10.0,12.19,False
2025-12-12,AMAT,A,HTF,258.8871,275.7561,6.12,6.87,7,0.765,65.2,60,14.91,36.62,42.27,6.12,0.79,-1.08,1.48,17.62,18.53,False
2025-12-12,TER,A,HTF,193.2892,204.9143,5.67,6.41,6,,79.01,59,13.85,61.47,114.76,5.67,0.69,0.94,2.06,18.57,18.57,False
